date,city,blood_group,units_demanded,day_of_week,month,is_weekend,is_festival
2023-01-03,Mumbai,A-,1,1,1,0,0
2023-01-03,Mumbai,B+,18,1,1,0,0
2023-01-03,Mumbai,B-,0,1,1,0,0
2023-01-03,Mumbai,AB+,5,1,1,0,0
2023-01-03,Mumbai,AB-,1,1,1,0,0
2023-01-03,Bangalore,O+,16,1,1,0,0
2023-01-03,Bangalore,O-,2,1,1,0,0
2023-01-03,Bangalore,A+,16,1,1,0,0
2023-01-03,Bangalore,A-,0,1,1,0,0
2023-01-03,Bangalore,B+,12,1,1,0,0
2023-01-03,Bangalore,B-,0,1,1,0,0
2023-01-03,Bangalore,AB+,6,1,1,0,0
2023-01-03,Bangalore,AB-,0,1,1,0,0
2023-01-03,Chennai,O+,16,1,1,0,0
2023-01-03,Chennai,O-,4,1,1,0,0
2023-01-03,Chennai,A+,13,1,1,0,0
2023-01-03,Chennai,A-,2,1,1,0,0
2023-01-03,Chennai,B+,12,1,1,0,0
2023-01-03,Chennai,B-,2,1,1,0,0
2023-01-03,Chennai,AB+,4,1,1,0,0
2023-01-03,Chennai,AB-,0,1,1,0,0
2023-01-03,Kolkata,O+,20,1,1,0,0
2023-01-03,Kolkata,O-,1,1,1,0,0
2023-01-03,Kolkata,A+,8,1,1,0,0
2023-01-03,Kolkata,A-,0,1,1,0,0
2023-01-03,Kolkata,B+,15,1,1,0,0
2023-01-03,Kolkata,B-,2,1,1,0,0
2023-01-03,Kolkata,AB+,6,1,1,0,0
2023-01-03,Kolkata,AB-,1,1,1,0,0
2023-01-04,Delhi,O+,19,2,1,0,0
2023-01-04,Delhi,O-,3,2,1,0,0
2023-01-04,Delhi,A+,8,2,1,0,0
2023-01-04,Delhi,A-,3,2,1,0,0
2023-01-04,Delhi,B+,21,2,1,0,0
2023-01-04,Delhi,B-,2,2,1,0,0
2023-01-04,Delhi,AB+,5,2,1,0,0
2023-01-04,Delhi,AB-,1,2,1,0,0
2023-01-04,Mumbai,O+,27,2,1,0,0
2023-01-04,Mumbai,O-,8,2,1,0,0
2023-01-04,Mumbai,A+,13,2,1,0,0
2023-01-04,Mumbai,A-,0,2,1,0,0
2023-01-04,Mumbai,B+,19,2,1,0,0
2023-01-04,Mumbai,B-,1,2,1,0,0
2023-01-04,Mumbai,AB+,2,2,1,0,0
2023-01-04,Mumbai,AB-,0,2,1,0,0
2023-01-04,Bangalore,O+,17,2,1,0,0
2023-01-04,Bangalore,O-,1,2,1,0,0
2023-01-04,Bangalore,A+,8,2,1,0,0
2023-01-04,Bangalore,A-,1,2,1,0,0
2023-01-04,Bangalore,B+,5,2,1,0,0
2023-01-04,Bangalore,B-,1,2,1,0,0
2023-01-04,Bangalore,AB+,2,2,1,0,0
2023-01-04,Bangalore,AB-,1,2,1,0,0
2023-01-04,Chennai,O+,17,2,1,0,0
2023-01-04,Chennai,O-,1,2,1,0,0
2023-01-04,Chennai,A+,6,2,1,0,0
2023-01-04,Chennai,A-,2,2,1,0,0
2023-01-04,Chennai,B+,13,2,1,0,0
2023-01-04,Chennai,B-,1,2,1,0,0
2023-01-04,Chennai,AB+,3,2,1,0,0
2023-01-04,Chennai,AB-,1,2,1,0,0
2023-01-04,Kolkata,O+,17,2,1,0,0
2023-01-04,Kolkata,O-,1,2,1,0,0
2023-01-04,Kolkata,A+,11,2,1,0,0
2023-01-04,Kolkata,A-,2,2,1,0,0
2023-01-04,Kolkata,B+,7,2,1,0,0
2023-01-04,Kolkata,B-,0,2,1,0,0
2023-01-04,Kolkata,AB+,1,2,1,0,0
2023-01-04,Kolkata,AB-,1,2,1,0,0
2023-01-05,Delhi,O+,18,3,1,0,0
2023-01-05,Delhi,O-,3,3,1,0,0
2023-01-05,Delhi,A+,5,3,1,0,0
2023-01-05,Delhi,A-,0,3,1,0,0
2023-01-05,Delhi,B+,12,3,1,0,0
2023-01-05,Delhi,B-,0,3,1,0,0
2023-01-05,Delhi,AB+,6,3,1,0,0
2023-01-05,Delhi,AB-,0,3,1,0,0
2023-01-05,Mumbai,O+,24,3,1,0,0
2023-01-05,Mumbai,O-,3,3,1,0,0
2023-01-05,Mumbai,A+,15,3,1,0,0
2023-01-05,Mumbai,A-,1,3,1,0,0
2023-01-05,Mumbai,B+,20,3,1,0,0
2023-01-05,Mumbai,B-,0,3,1,0,0
2023-01-05,Mumbai,AB+,5,3,1,0,0
2023-01-05,Mumbai,AB-,0,3,1,0,0
2023-01-05,Bangalore,O+,18,3,1,0,0
2023-01-05,Bangalore,O-,1,3,1,0,0
2023-01-05,Bangalore,A+,18,3,1,0,0
2023-01-05,Bangalore,A-,0,3,1,0,0
2023-01-05,Bangalore,B+,11,3,1,0,0
2023-01-05,Bangalore,B-,1,3,1,0,0
2023-01-05,Bangalore,AB+,2,3,1,0,0
2023-01-05,Bangalore,AB-,2,3,1,0,0
2023-01-05,Chennai,O+,19,3,1,0,0
2023-01-05,Chennai,O-,4,3,1,0,0
2023-01-05,Chennai,A+,11,3,1,0,0
2023-01-05,Chennai,A-,2,3,1,0,0
2023-01-05,Chennai,B+,8,3,1,0,0
2023-01-05,Chennai,B-,4,3,1,0,0
2023-01-05,Chennai,AB+,3,3,1,0,0
2023-01-05,Chennai,AB-,1,3,1,0,0
2023-01-05,Kolkata,O+,8,3,1,0,0
2023-01-05,Kolkata,O-,1,3,1,0,0
2023-01-05,Kolkata,A+,6,3,1,0,0
2023-01-05,Kolkata,A-,1,3,1,0,0
2023-01-05,Kolkata,B+,8,3,1,0,0
2023-01-05,Kolkata,B-,1,3,1,0,0
2023-01-05,Kolkata,AB+,4,3,1,0,0
2023-01-05,Kolkata,AB-,1,3,1,0,0
2023-01-06,Delhi,O+,20,4,1,0,0
2023-01-06,Delhi,O-,0,4,1,0,0
2023-01-06,Delhi,A+,12,4,1,0,0
2023-01-06,Delhi,A-,0,4,1,0,0
2023-01-06,Delhi,B+,21,4,1,0,0
2023-01-06,Delhi,B-,1,4,1,0,0
2023-01-06,Delhi,AB+,2,4,1,0,0
2023-01-06,Delhi,AB-,1,4,1,0,0
2023-01-06,Mumbai,O+,25,4,1,0,0
2023-01-06,Mumbai,O-,1,4,1,0,0
2023-01-06,Mumbai,A+,16,4,1,0,0
2023-01-06,Mumbai,A-,2,4,1,0,0
2023-01-06,Mumbai,B+,16,4,1,0,0
2023-01-06,Mumbai,B-,3,4,1,0,0
2023-01-06,Mumbai,AB+,6,4,1,0,0
2023-01-06,Mumbai,AB-,2,4,1,0,0
2023-01-06,Bangalore,O+,19,4,1,0,0
2023-01-06,Bangalore,O-,2,4,1,0,0
2023-01-06,Bangalore,A+,12,4,1,0,0
2023-01-06,Bangalore,A-,0,4,1,0,0
2023-01-06,Bangalore,B+,15,4,1,0,0
2023-01-06,Bangalore,B-,1,4,1,0,0
2023-01-06,Bangalore,AB+,3,4,1,0,0
2023-01-06,Bangalore,AB-,3,4,1,0,0
2023-01-06,Chennai,O+,13,4,1,0,0
2023-01-06,Chennai,O-,3,4,1,0,0
2023-01-06,Chennai,A+,8,4,1,0,0
2023-01-06,Chennai,A-,0,4,1,0,0
2023-01-06,Chennai,B+,16,4,1,0,0
2023-01-06,Chennai,B-,1,4,1,0,0
2023-01-06,Chennai,AB+,4,4,1,0,0
2023-01-06,Chennai,AB-,1,4,1,0,0
2023-01-06,Kolkata,O+,13,4,1,0,0
2023-01-06,Kolkata,O-,0,4,1,0,0
2023-01-06,Kolkata,A+,16,4,1,0,0
2023-01-06,Kolkata,A-,2,4,1,0,0
2023-01-06,Kolkata,B+,12,4,1,0,0
2023-01-06,Kolkata,B-,0,4,1,0,0
2023-01-06,Kolkata,AB+,1,4,1,0,0
2023-01-06,Kolkata,AB-,1,4,1,0,0
2023-01-07,Delhi,O+,13,5,1,1,0
2023-01-07,Delhi,O-,3,5,1,1,0
2023-01-07,Delhi,A+,8,5,1,1,0
2023-01-07,Delhi,A-,0,5,1,1,0
2023-01-07,Delhi,B+,14,5,1,1,0
2023-01-07,Delhi,B-,1,5,1,1,0
2023-01-07,Delhi,AB+,2,5,1,1,0
2023-01-07,Delhi,AB-,0,5,1,1,0
2023-01-07,Mumbai,O+,14,5,1,1,0
2023-01-07,Mumbai,O-,0,5,1,1,0
2023-01-07,Mumbai,A+,11,5,1,1,0
2023-01-07,Mumbai,A-,1,5,1,1,0
2023-01-07,Mumbai,B+,15,5,1,1,0
2023-01-07,Mumbai,B-,0,5,1,1,0
2023-01-07,Mumbai,AB+,6,5,1,1,0
2023-01-07,Mumbai,AB-,0,5,1,1,0
2023-01-07,Bangalore,O+,9,5,1,1,0
2023-01-07,Bangalore,O-,0,5,1,1,0
2023-01-07,Bangalore,A+,7,5,1,1,0
2023-01-07,Bangalore,A-,0,5,1,1,0
2023-01-07,Bangalore,B+,7,5,1,1,0
2023-01-07,Bangalore,B-,1,5,1,1,0
2023-01-07,Bangalore,AB+,0,5,1,1,0
2023-01-07,Bangalore,AB-,0,5,1,1,0
2023-01-07,Chennai,O+,10,5,1,1,0
2023-01-07,Chennai,O-,0,5,1,1,0
2023-01-07,Chennai,A+,7,5,1,1,0
2023-01-07,Chennai,A-,0,5,1,1,0
2023-01-07,Chennai,B+,6,5,1,1,0
2023-01-07,Chennai,B-,1,5,1,1,0
2023-01-07,Chennai,AB+,3,5,1,1,0
2023-01-07,Chennai,AB-,0,5,1,1,0
2023-01-07,Kolkata,O+,7,5,1,1,0
2023-01-07,Kolkata,O-,1,5,1,1,0
2023-01-07,Kolkata,A+,5,5,1,1,0
2023-01-07,Kolkata,A-,1,5,1,1,0
2023-01-07,Kolkata,B+,5,5,1,1,0
2023-01-07,Kolkata,B-,1,5,1,1,0
2023-01-07,Kolkata,AB+,4,5,1,1,0
2023-01-07,Kolkata,AB-,0,5,1,1,0
2023-01-08,Delhi,O+,15,6,1,1,0
2023-01-08,Delhi,O-,0,6,1,1,0
2023-01-08,Delhi,A+,10,6,1,1,0
2023-01-08,Delhi,A-,1,6,1,1,0
2023-01-08,Delhi,B+,5,6,1,1,0
2023-01-08,Delhi,B-,1,6,1,1,0
2023-01-08,Delhi,AB+,0,6,1,1,0
2023-01-08,Delhi,AB-,1,6,1,1,0
2023-01-08,Mumbai,O+,13,6,1,1,0
2023-01-08,Mumbai,O-,1,6,1,1,0
2023-01-08,Mumbai,A+,13,6,1,1,0
2023-01-08,Mumbai,A-,0,6,1,1,0
2023-01-08,Mumbai,B+,17,6,1,1,0
2023-01-08,Mumbai,B-,1,6,1,1,0
2023-01-08,Mumbai,AB+,4,6,1,1,0
2023-01-08,Mumbai,AB-,1,6,1,1,0
2023-01-08,Bangalore,O+,11,6,1,1,0
2023-01-08,Bangalore,O-,1,6,1,1,0
2023-01-08,Bangalore,A+,9,6,1,1,0
2023-01-08,Bangalore,A-,1,6,1,1,0
2023-01-08,Bangalore,B+,10,6,1,1,0
2023-01-08,Bangalore,B-,0,6,1,1,0
2023-01-08,Bangalore,AB+,2,6,1,1,0
2023-01-08,Bangalore,AB-,0,6,1,1,0
2023-01-08,Chennai,O+,15,6,1,1,0
2023-01-08,Chennai,O-,0,6,1,1,0
2023-01-08,Chennai,A+,8,6,1,1,0
2023-01-08,Chennai,A-,0,6,1,1,0
2023-01-08,Chennai,B+,6,6,1,1,0
2023-01-08,Chennai,B-,1,6,1,1,0
2023-01-08,Chennai,AB+,2,6,1,1,0
2023-01-08,Chennai,AB-,0,6,1,1,0
2023-01-08,Kolkata,O+,7,6,1,1,0
2023-01-08,Kolkata,O-,2,6,1,1,0
2023-01-08,Kolkata,A+,7,6,1,1,0
2023-01-08,Kolkata,A-,2,6,1,1,0
2023-01-08,Kolkata,B+,4,6,1,1,0
2023-01-08,Kolkata,B-,0,6,1,1,0
2023-01-08,Kolkata,AB+,2,6,1,1,0
2023-01-08,Kolkata,AB-,0,6,1,1,0
2023-01-09,Delhi,O+,21,0,1,0,0
2023-01-09,Delhi,O-,1,0,1,0,0
2023-01-09,Delhi,A+,18,0,1,0,0
2023-01-09,Delhi,A-,2,0,1,0,0
2023-01-09,Delhi,B+,16,0,1,0,0
2023-01-09,Delhi,B-,1,0,1,0,0
2023-01-09,Delhi,AB+,2,0,1,0,0
2023-01-09,Delhi,AB-,0,0,1,0,0
2023-01-09,Mumbai,O+,20,0,1,0,0
2023-01-09,Mumbai,O-,3,0,1,0,0
2023-01-09,Mumbai,A+,16,0,1,0,0
2023-01-09,Mumbai,A-,2,0,1,0,0
2023-01-09,Mumbai,B+,29,0,1,0,0
2023-01-09,Mumbai,B-,2,0,1,0,0
2023-01-09,Mumbai,AB+,10,0,1,0,0
2023-01-09,Mumbai,AB-,1,0,1,0,0
2023-01-09,Bangalore,O+,22,0,1,0,0
2023-01-09,Bangalore,O-,0,0,1,0,0
2023-01-09,Bangalore,A+,10,0,1,0,0
2023-01-09,Bangalore,A-,2,0,1,0,0
2023-01-09,Bangalore,B+,15,0,1,0,0
2023-01-09,Bangalore,B-,2,0,1,0,0
2023-01-09,Bangalore,AB+,5,0,1,0,0
2023-01-09,Bangalore,AB-,2,0,1,0,0
2023-01-09,Chennai,O+,20,0,1,0,0
2023-01-09,Chennai,O-,1,0,1,0,0
2023-01-09,Chennai,A+,13,0,1,0,0
2023-01-09,Chennai,A-,1,0,1,0,0
2023-01-09,Chennai,B+,12,0,1,0,0
2023-01-09,Chennai,B-,0,0,1,0,0
2023-01-09,Chennai,AB+,4,0,1,0,0
2023-01-09,Chennai,AB-,0,0,1,0,0
2023-01-09,Kolkata,O+,19,0,1,0,0
2023-01-09,Kolkata,O-,4,0,1,0,0
2023-01-09,Kolkata,A+,9,0,1,0,0
2023-01-09,Kolkata,A-,1,0,1,0,0
2023-01-09,Kolkata,B+,21,0,1,0,0
2023-01-09,Kolkata,B-,1,0,1,0,0
2023-01-09,Kolkata,AB+,4,0,1,0,0
2023-01-09,Kolkata,AB-,0,0,1,0,0
2023-01-10,Delhi,O+,16,1,1,0,0
2023-01-10,Delhi,O-,3,1,1,0,0
2023-01-10,Delhi,A+,10,1,1,0,0
2023-01-10,Delhi,A-,0,1,1,0,0
2023-01-10,Delhi,B+,16,1,1,0,0
2023-01-10,Delhi,B-,2,1,1,0,0
2023-01-10,Delhi,AB+,2,1,1,0,0
2023-01-10,Delhi,AB-,1,1,1,0,0
2023-01-10,Mumbai,O+,18,1,1,0,0
2023-01-10,Mumbai,O-,4,1,1,0,0
2023-01-10,Mumbai,A+,12,1,1,0,0
2023-01-10,Mumbai,A-,2,1,1,0,0
2023-01-10,Mumbai,B+,23,1,1,0,0
2023-01-10,Mumbai,B-,4,1,1,0,0
2023-01-10,Mumbai,AB+,2,1,1,0,0
2023-01-10,Mumbai,AB-,0,1,1,0,0
2023-01-10,Bangalore,O+,19,1,1,0,0
2023-01-10,Bangalore,O-,3,1,1,0,0
2023-01-10,Bangalore,A+,10,1,1,0,0
2023-01-10,Bangalore,A-,3,1,1,0,0
2023-01-10,Bangalore,B+,9,1,1,0,0
2023-01-10,Bangalore,B-,2,1,1,0,0
2023-01-10,Bangalore,AB+,4,1,1,0,0
2023-01-10,Bangalore,AB-,0,1,1,0,0
2023-01-10,Chennai,O+,16,1,1,0,0
2023-01-10,Chennai,O-,1,1,1,0,0
2023-01-10,Chennai,A+,10,1,1,0,0
2023-01-10,Chennai,A-,1,1,1,0,0
2023-01-10,Chennai,B+,10,1,1,0,0
2023-01-10,Chennai,B-,1,1,1,0,0
2023-01-10,Chennai,AB+,3,1,1,0,0
2023-01-10,Chennai,AB-,0,1,1,0,0
2023-01-10,Kolkata,O+,11,1,1,0,0
2023-01-10,Kolkata,O-,1,1,1,0,0
2023-01-10,Kolkata,A+,10,1,1,0,0
2023-01-10,Kolkata,A-,0,1,1,0,0
2023-01-10,Kolkata,B+,12,1,1,0,0
2023-01-10,Kolkata,B-,0,1,1,0,0
2023-01-10,Kolkata,AB+,3,1,1,0,0
2023-01-10,Kolkata,AB-,0,1,1,0,0
2023-01-11,Delhi,O+,16,2,1,0,0
2023-01-11,Delhi,O-,3,2,1,0,0
2023-01-11,Delhi,A+,9,2,1,0,0
2023-01-11,Delhi,A-,2,2,1,0,0
2023-01-11,Delhi,B+,15,2,1,0,0
2023-01-11,Delhi,B-,1,2,1,0,0
2023-01-11,Delhi,AB+,3,2,1,0,0
2023-01-11,Delhi,AB-,1,2,1,0,0
2023-01-11,Mumbai,O+,16,2,1,0,0
2023-01-11,Mumbai,O-,6,2,1,0,0
2023-01-11,Mumbai,A+,15,2,1,0,0
2023-01-11,Mumbai,A-,1,2,1,0,0
2023-01-11,Mumbai,B+,22,2,1,0,0
2023-01-11,Mumbai,B-,1,2,1,0,0
2023-01-11,Mumbai,AB+,2,2,1,0,0
2023-01-11,Mumbai,AB-,1,2,1,0,0
2023-01-11,Bangalore,O+,19,2,1,0,0
2023-01-11,Bangalore,O-,4,2,1,0,0
2023-01-11,Bangalore,A+,11,2,1,0,0
2023-01-11,Bangalore,A-,5,2,1,0,0
2023-01-11,Bangalore,B+,17,2,1,0,0
2023-01-11,Bangalore,B-,0,2,1,0,0
2023-01-11,Bangalore,AB+,1,2,1,0,0
2023-01-11,Bangalore,AB-,0,2,1,0,0
2023-01-11,Chennai,O+,13,2,1,0,0
2023-01-11,Chennai,O-,0,2,1,0,0
2023-01-11,Chennai,A+,10,2,1,0,0
2023-01-11,Chennai,A-,1,2,1,0,0
2023-01-11,Chennai,B+,8,2,1,0,0
2023-01-11,Chennai,B-,2,2,1,0,0
2023-01-11,Chennai,AB+,2,2,1,0,0
2023-01-11,Chennai,AB-,0,2,1,0,0
2023-01-11,Kolkata,O+,10,2,1,0,0
2023-01-11,Kolkata,O-,1,2,1,0,0
2023-01-11,Kolkata,A+,8,2,1,0,0
2023-01-11,Kolkata,A-,0,2,1,0,0
2023-01-11,Kolkata,B+,8,2,1,0,0
2023-01-11,Kolkata,B-,0,2,1,0,0
2023-01-11,Kolkata,AB+,6,2,1,0,0
2023-01-11,Kolkata,AB-,0,2,1,0,0
2023-01-12,Delhi,O+,28,3,1,0,0
2023-01-12,Delhi,O-,2,3,1,0,0
2023-01-12,Delhi,A+,15,3,1,0,0
2023-01-12,Delhi,A-,1,3,1,0,0
2023-01-12,Delhi,B+,12,3,1,0,0
2023-01-12,Delhi,B-,3,3,1,0,0
2023-01-12,Delhi,AB+,5,3,1,0,0
2023-01-12,Delhi,AB-,1,3,1,0,0
2023-01-12,Mumbai,O+,24,3,1,0,0
2023-01-12,Mumbai,O-,5,3,1,0,0
2023-01-12,Mumbai,A+,9,3,1,0,0
2023-01-12,Mumbai,A-,3,3,1,0,0
2023-01-12,Mumbai,B+,16,3,1,0,0
2023-01-12,Mumbai,B-,1,3,1,0,0
2023-01-12,Mumbai,AB+,5,3,1,0,0
2023-01-12,Mumbai,AB-,0,3,1,0,0
2023-01-12,Bangalore,O+,20,3,1,0,0
2023-01-12,Bangalore,O-,2,3,1,0,0
2023-01-12,Bangalore,A+,13,3,1,0,0
2023-01-12,Bangalore,A-,0,3,1,0,0
2023-01-12,Bangalore,B+,16,3,1,0,0
2023-01-12,Bangalore,B-,1,3,1,0,0
2023-01-12,Bangalore,AB+,1,3,1,0,0
2023-01-12,Bangalore,AB-,1,3,1,0,0
2023-01-12,Chennai,O+,17,3,1,0,0
2023-01-12,Chennai,O-,1,3,1,0,0
2023-01-12,Chennai,A+,10,3,1,0,0
2023-01-12,Chennai,A-,0,3,1,0,0
2023-01-12,Chennai,B+,12,3,1,0,0
2023-01-12,Chennai,B-,1,3,1,0,0
2023-01-12,Chennai,AB+,3,3,1,0,0
2023-01-12,Chennai,AB-,1,3,1,0,0
2023-01-12,Kolkata,O+,16,3,1,0,0
2023-01-12,Kolkata,O-,2,3,1,0,0
2023-01-12,Kolkata,A+,7,3,1,0,0
2023-01-12,Kolkata,A-,1,3,1,0,0
2023-01-12,Kolkata,B+,9,3,1,0,0
2023-01-12,Kolkata,B-,0,3,1,0,0
2023-01-12,Kolkata,AB+,2,3,1,0,0
2023-01-12,Kolkata,AB-,1,3,1,0,0
2023-01-13,Delhi,O+,14,4,1,0,0
2023-01-13,Delhi,O-,2,4,1,0,0
2023-01-13,Delhi,A+,6,4,1,0,0
2023-01-13,Delhi,A-,4,4,1,0,0
2023-01-13,Delhi,B+,11,4,1,0,0
2023-01-13,Delhi,B-,1,4,1,0,0
2023-01-13,Delhi,AB+,3,4,1,0,0
2023-01-13,Delhi,AB-,0,4,1,0,0
2023-01-13,Mumbai,O+,23,4,1,0,0
2023-01-13,Mumbai,O-,3,4,1,0,0
2023-01-13,Mumbai,A+,10,4,1,0,0
2023-01-13,Mumbai,A-,1,4,1,0,0
2023-01-13,Mumbai,B+,21,4,1,0,0
2023-01-13,Mumbai,B-,3,4,1,0,0
2023-01-13,Mumbai,AB+,3,4,1,0,0
2023-01-13,Mumbai,AB-,0,4,1,0,0
2023-01-13,Bangalore,O+,14,4,1,0,0
2023-01-13,Bangalore,O-,0,4,1,0,0
2023-01-13,Bangalore,A+,9,4,1,0,0
2023-01-13,Bangalore,A-,1,4,1,0,0
2023-01-13,Bangalore,B+,14,4,1,0,0
2023-01-13,Bangalore,B-,0,4,1,0,0
2023-01-13,Bangalore,AB+,3,4,1,0,0
2023-01-13,Bangalore,AB-,0,4,1,0,0
2023-01-13,Chennai,O+,20,4,1,0,0
2023-01-13,Chennai,O-,2,4,1,0,0
2023-01-13,Chennai,A+,15,4,1,0,0
2023-01-13,Chennai,A-,1,4,1,0,0
2023-01-13,Chennai,B+,18,4,1,0,0
2023-01-13,Chennai,B-,0,4,1,0,0
2023-01-13,Chennai,AB+,5,4,1,0,0
2023-01-13,Chennai,AB-,0,4,1,0,0
2023-01-13,Kolkata,O+,11,4,1,0,0
2023-01-13,Kolkata,O-,2,4,1,0,0
2023-01-13,Kolkata,A+,8,4,1,0,0
2023-01-13,Kolkata,A-,2,4,1,0,0
2023-01-13,Kolkata,B+,15,4,1,0,0
2023-01-13,Kolkata,B-,2,4,1,0,0
2023-01-13,Kolkata,AB+,3,4,1,0,0
2023-01-13,Kolkata,AB-,1,4,1,0,0
2023-01-14,Delhi,O+,11,5,1,1,0
2023-01-14,Delhi,O-,1,5,1,1,0
2023-01-14,Delhi,A+,9,5,1,1,0
2023-01-14,Delhi,A-,0,5,1,1,0
2023-01-14,Delhi,B+,8,5,1,1,0
2023-01-14,Delhi,B-,1,5,1,1,0
2023-01-14,Delhi,AB+,3,5,1,1,0
2023-01-14,Delhi,AB-,1,5,1,1,0
2023-01-14,Mumbai,O+,21,5,1,1,0
2023-01-14,Mumbai,O-,2,5,1,1,0
2023-01-14,Mumbai,A+,10,5,1,1,0
2023-01-14,Mumbai,A-,2,5,1,1,0
2023-01-14,Mumbai,B+,8,5,1,1,0
2023-01-14,Mumbai,B-,0,5,1,1,0
2023-01-14,Mumbai,AB+,2,5,1,1,0
2023-01-14,Mumbai,AB-,1,5,1,1,0
2023-01-14,Bangalore,O+,10,5,1,1,0
2023-01-14,Bangalore,O-,2,5,1,1,0
2023-01-14,Bangalore,A+,8,5,1,1,0
